drugbank_id	entrez_gene	affinity_nM	n_pairs
DB00175	3156	30	3
DB00175	6713	10001	1
DB00175	9356	408000	1
DB00175	9376	13700	1
DB00175	10599	3400	1
DB00175	10864	352000	1
DB00175	11309	180000	1
DB00175	28234	57000	1
DB00175	55867	591000	1
DB00176	1128	10001	1
DB00176	1559	8500.00000000001	1
DB00176	6530	1961.61832760488	1
DB00176	6531	333.699572924957	1
DB00176	6532	4.16062183634066	1
DB00176	10280	36	1
DB00177	185	300	2
DB00178	1636	4	1
DB00179	239	1243.97449582556	3
DB00179	240	149.159630802999	2
DB00179	246	110	3
DB00179	367	26871.0485950674	1
DB00179	1241	85	1
DB00179	1588	11	1
DB00179	2099	22193.67	1
DB00179	2539	80001	1
DB00179	3320	8871.22444761714	1
DB00179	3480	900	1
DB00179	5743	50001	1
DB00179	7532	50001	1
DB00182	1812	10001	1
DB00182	3350	6606	1
DB00182	6530	7.1	1
DB00182	6531	271.910935824513	1
DB00182	10280	46400	1
DB00184	1135	9899.99999999999	1
DB00184	1136	220	1
DB00184	1139	1.06	2
DB00184	1544	4100000	1
DB00184	1548	580000	1
DB00184	3757	245236.285886642	2
DB00184	10280	10001	1
DB00184	89832	1.06	4
DB00186	706	3499451670.28001	1
DB00188	1215	1190	1
DB00188	1508	30001	1
DB00188	1511	630	1
DB00188	1991	2300	1
DB00188	2147	13000	1
DB00188	5476	9200.00000000001	1
DB00188	5689	83.0060238777885	1
DB00188	5690	1053.18564365453	1
DB00188	5693	0.6	1
DB00188	5696	78	1
DB00190	390245	1980	1
DB00191	3357	10001	1
DB00193	4986	14	1
DB00193	4988	1788.85438199983	1
DB00193	6530	2340.78687431452	1
DB00193	6532	2107.69249277382	1
DB00193	6580	52500	1
DB00194	100	2180000	1
DB00194	132	1000	1
DB00194	135	20	1
DB00194	1803	62	1
DB00194	1956	195000	1
DB00194	2597	2500000	1
DB00194	3303	560000	1
DB00194	3304	560000	1
DB00194	3614	100001	1
DB00194	3615	100001	1
DB00194	4860	2e+06	1
DB00194	5579	278000	1
DB00195	153	6.2	2
DB00195	155	1072	1
DB00195	1565	66000	1
DB00196	1576	25000	1
DB00196	1595	69520.532897729	1
DB00196	4190	400001	1
DB00196	5243	632456.638830678	1
DB00198	5243	1300000	1
DB00198	10825	10000001	1
DB00199	52	61384.4206619236	1
DB00199	213	12000	1
DB00199	1576	2283.88227458599	1
DB00199	1595	200001	1
DB00199	2862	55.8927544499285	2
DB00199	3757	1233.28828746567	2
DB00199	4295	1258.92464349539	2
DB00199	5243	194396.599224369	1
DB00199	55244	500001	1
DB00200	317	6655.85779595688	1
DB00200	842	437	1
DB00201	134	45000	1
DB00201	135	18728.5857273441	1
DB00201	136	17680.3798594923	1
DB00201	472	2e+05	1
DB00201	545	1100000	1
DB00201	1118	257000	1
DB00201	2475	4e+05	1
DB00201	3757	4897.79	1
DB00201	4129	3600000	1
DB00201	5837	114000	1
DB00201	9615	10200	1
DB00203	135	200	1
DB00203	3757	8762.72028819425	1
DB00203	5138	10001	1
DB00203	5144	20000	1
DB00203	5146	79.1959594928933	1
DB00203	5150	4690	1
DB00203	5151	44723.7073709235	1
DB00203	5152	5831.24343515172	1
DB00203	5153	1500	1
DB00203	8654	1.9	1
DB00203	10057	1200	1
DB00203	10257	20000	1
DB00203	10846	5568.04274408881	1
