drugbank_id	bindingdb_id	uniprot	entrez_gene	measure	affinity_nM	n_measures	sources	pubmeds
DB07138	15244	Q99759	4215	Kd	10001	1	ChEMBL	22037378
DB07138	15244	Q9BQI3	27102	Kd	10001	1	ChEMBL	22037378
DB07138	15244	Q9BRS2	83732	Kd	10001	2	ChEMBL	22037378,18183025
DB07138	15244	Q9BUB5	8569	Kd	10001	2	ChEMBL	22037378,18183025
DB07138	15244	Q9BVS4	55781	Kd	10001	1	ChEMBL	22037378
DB07138	15244	Q9BWU1	23097	Kd	10001	2	ChEMBL	22037378,18183025
DB07138	15244	Q9BX84	140803	Kd	10001	1	ChEMBL	22037378
DB07138	15244	Q9BXA7	83942	Kd	10001	2	ChEMBL	22037378,18183025
DB07138	15244	Q9BYT3	65975	Kd	10001	2	ChEMBL	22037378,18183025
DB07138	15244	Q9C098	85443	Kd	10001	2	ChEMBL	22037378,18183025
DB07138	15244	Q9H093	81788	Kd	10001	2	ChEMBL	22037378,18183025
DB07138	15244	Q9H0K1	23235	Kd	10001	2	ChEMBL	22037378,18183025
DB07138	15244	Q9H1R3	85366	Kd	10001	2	ChEMBL	22037378,18183025
DB07138	15244	Q9H2G2	9748	Kd	10001	2	ChEMBL	22037378,18183025
DB07138	15244	Q9H2K8	51347	Kd	10001	1	ChEMBL	22037378
DB07138	15244	Q9H2X6	28996	Kd	10001	1	ChEMBL	22037378
DB07138	15244	Q9H3Y6	6725	Kd	10001	2	ChEMBL	22037378,18183025
DB07138	15244	Q9H422	10114	Kd	10001	1	ChEMBL	22037378
DB07138	15244	Q9H4B4	1263	Kd	10001	2	ChEMBL	22037378,18183025
DB07138	15244	Q9HAZ1	57396	Kd	10001	2	ChEMBL	22037378,18183025
DB07138	15244	Q9HBH9	2872	Kd	10001	2	ChEMBL	22037378,18183025
DB07138	15244	Q9HC98	10783	Kd	10001	2	ChEMBL	22037378,18183025
DB07138	15244	Q9HCP0	53944	Kd	10001	2	ChEMBL	22037378,18183025
DB07138	15244	Q9NQU5	56924	Kd	10001	2	ChEMBL	22037378,18183025
DB07138	15244	Q9NRH2	54861	Kd	10001	1	ChEMBL	22037378
DB07138	15244	Q9NRM7	26524	Kd	10001	2	ChEMBL	22037378,18183025
